Tên SP,Giá gốc (VNĐ),Giá KM (VNĐ)
Apple MacBook Air M2 8GB 256GB 2022,27990000,24590000
Asus Zenbook 14 OLED UX3402VA-KM085W,25990000,23490000
Lenovo ThinkBook 14 G6 IRL 21KG00AQVN,24490000,21990000
HP Envy x360 14-fc0085TU,26490000,24990000
Dell Inspiron 14 5430 i5-1335U,23990000,21490000
Acer Swift Go 14 OLED SFG14-71-55,24990000,22490000
LG Gram 14 2023 14Z90R-G.AH53A5,28990000,24990000
